ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,-0.0471542
0001,Left_Hand,40,LH,PMC,-1.5681002
0001,Left_Hand,40,LH,SMA,0.1376438
0001,Left_Hand,40,LH,insula,-0.2289886
0001,Left_Hand,40,RH,Cereb_V_VI,-1.283217
0001,Left_Hand,40,RH,PMC,2.801404
0001,Left_Hand,40,RH,SMA,1.534587
0001,Left_Hand,40,RH,insula,0.9416442
0001,Left_Hand,60,LH,Cereb_V_VI,0.3429042
0001,Left_Hand,60,LH,PMC,-1.405899
0001,Left_Hand,60,LH,SMA,0.4318512
0001,Left_Hand,60,LH,insula,0.1592702
0001,Left_Hand,60,RH,Cereb_V_VI,-1.086551
0001,Left_Hand,60,RH,PMC,3.1449872
0001,Left_Hand,60,RH,SMA,1.516649
0001,Left_Hand,60,RH,insula,1.401441
0001,Right_Hand,40,LH,Cereb_V_VI,-1.2196282
0001,Right_Hand,40,LH,PMC,1.7662386
0001,Right_Hand,40,LH,SMA,1.850892
0001,Right_Hand,40,LH,insula,0.9596942
0001,Right_Hand,40,RH,Cereb_V_VI,0.6536288
0001,Right_Hand,40,RH,PMC,-3.2698534
0001,Right_Hand,40,RH,SMA,0.4711184
0001,Right_Hand,40,RH,insula,-1.604937
0001,Right_Hand,60,LH,Cereb_V_VI,-0.823087
0001,Right_Hand,60,LH,PMC,1.9148164
0001,Right_Hand,60,LH,SMA,1.6250404
0001,Right_Hand,60,LH,insula,1.3501888
0001,Right_Hand,60,RH,Cereb_V_VI,1.024787
0001,Right_Hand,60,RH,PMC,-3.04726
0001,Right_Hand,60,RH,SMA,0.7691196
0001,Right_Hand,60,RH,insula,-1.6436528
0002,Left_Hand,40,LH,Cereb_V_VI,0.2726182
0002,Left_Hand,40,LH,PMC,-0.6834386
0002,Left_Hand,40,LH,SMA,-1.0477154
0002,Left_Hand,40,LH,insula,-0.2495328
0002,Left_Hand,40,RH,Cereb_V_VI,-0.5643434
0002,Left_Hand,40,RH,PMC,0.6218054
0002,Left_Hand,40,RH,SMA,-0.2274484
0002,Left_Hand,40,RH,insula,0.3908204
0002,Left_Hand,60,LH,Cereb_V_VI,0.5256312
0002,Left_Hand,60,LH,PMC,-0.9103466
0002,Left_Hand,60,LH,SMA,-1.0511708
0002,Left_Hand,60,LH,insula,-0.3301608
0002,Left_Hand,60,RH,Cereb_V_VI,-0.5236594
0002,Left_Hand,60,RH,PMC,1.2513452
0002,Left_Hand,60,RH,SMA,0.4796784
0002,Left_Hand,60,RH,insula,0.1769488
0002,Right_Hand,40,LH,Cereb_V_VI,-0.0075798
0002,Right_Hand,40,LH,PMC,2.4098592
0002,Right_Hand,40,LH,SMA,0.2427112
0002,Right_Hand,40,LH,insula,-0.079394
0002,Right_Hand,40,RH,Cereb_V_VI,0.4413572
0002,Right_Hand,40,RH,PMC,-0.4259894
0002,Right_Hand,40,RH,SMA,0.0813546
0002,Right_Hand,40,RH,insula,0.3978392
0002,Right_Hand,60,LH,Cereb_V_VI,0.3569274
0002,Right_Hand,60,LH,PMC,2.439041
0002,Right_Hand,60,LH,SMA,0.0993462
0002,Right_Hand,60,LH,insula,-0.1053964
0002,Right_Hand,60,RH,Cereb_V_VI,1.171595
0002,Right_Hand,60,RH,PMC,-0.7203536
0002,Right_Hand,60,RH,SMA,0.00398879999999998
0002,Right_Hand,60,RH,insula,-0.0207862
0003,Left_Hand,40,LH,Cereb_V_VI,-0.0472258
0003,Left_Hand,40,LH,PMC,1.2289676
0003,Left_Hand,40,LH,SMA,0.713984
0003,Left_Hand,40,LH,insula,1.184894
0003,Left_Hand,40,RH,Cereb_V_VI,0.104462
0003,Left_Hand,40,RH,PMC,3.8038218
0003,Left_Hand,40,RH,SMA,2.0268296
0003,Left_Hand,40,RH,insula,1.411642
0003,Left_Hand,60,LH,Cereb_V_VI,1.0344186
0003,Left_Hand,60,LH,PMC,2.2131422
0003,Left_Hand,60,LH,SMA,1.5564526
0003,Left_Hand,60,LH,insula,1.3759076
