ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,7
0001,Left_Hand,40,LH,PMC,154
0001,Left_Hand,40,LH,SMA,3
0001,Left_Hand,40,LH,insula,2
0001,Left_Hand,40,RH,Cereb_V_VI,9
0001,Left_Hand,40,RH,PMC,92
0001,Left_Hand,40,RH,SMA,34
0001,Left_Hand,40,RH,insula,9
0001,Left_Hand,60,LH,Cereb_V_VI,37
0001,Left_Hand,60,LH,PMC,227
0001,Left_Hand,60,LH,SMA,8
0001,Left_Hand,60,LH,insula,7
0001,Left_Hand,60,RH,Cereb_V_VI,3
0001,Left_Hand,60,RH,PMC,43
0001,Left_Hand,60,RH,SMA,20
0001,Left_Hand,60,RH,insula,17
0001,Right_Hand,40,LH,Cereb_V_VI,4
0001,Right_Hand,40,LH,PMC,178
0001,Right_Hand,40,LH,SMA,48
0001,Right_Hand,40,LH,insula,12
0001,Right_Hand,40,RH,Cereb_V_VI,23
0001,Right_Hand,40,RH,PMC,115
0001,Right_Hand,40,RH,SMA,2
0001,Right_Hand,40,RH,insula,26
0001,Right_Hand,60,LH,Cereb_V_VI,4
0001,Right_Hand,60,LH,PMC,244
0001,Right_Hand,60,LH,SMA,32
0001,Right_Hand,60,LH,insula,14
0001,Right_Hand,60,RH,Cereb_V_VI,53
0001,Right_Hand,60,RH,PMC,135
0001,Right_Hand,60,RH,SMA,7
0001,Right_Hand,60,RH,insula,35
0002,Left_Hand,40,LH,Cereb_V_VI,3
0002,Left_Hand,40,LH,PMC,72
0002,Left_Hand,40,LH,SMA,0
0002,Left_Hand,40,LH,insula,0
0002,Left_Hand,40,RH,Cereb_V_VI,1
0002,Left_Hand,40,RH,PMC,17
0002,Left_Hand,40,RH,SMA,0
0002,Left_Hand,40,RH,insula,0
0002,Left_Hand,60,LH,Cereb_V_VI,18
0002,Left_Hand,60,LH,PMC,111
0002,Left_Hand,60,LH,SMA,13
0002,Left_Hand,60,LH,insula,0
0002,Left_Hand,60,RH,Cereb_V_VI,1
0002,Left_Hand,60,RH,PMC,78
0002,Left_Hand,60,RH,SMA,1
0002,Left_Hand,60,RH,insula,1
0002,Right_Hand,40,LH,Cereb_V_VI,8
0002,Right_Hand,40,LH,PMC,78
0002,Right_Hand,40,LH,SMA,10
0002,Right_Hand,40,LH,insula,0
0002,Right_Hand,40,RH,Cereb_V_VI,15
0002,Right_Hand,40,RH,PMC,130
0002,Right_Hand,40,RH,SMA,0
0002,Right_Hand,40,RH,insula,5
0002,Right_Hand,60,LH,Cereb_V_VI,4
0002,Right_Hand,60,LH,PMC,91
0002,Right_Hand,60,LH,SMA,17
0002,Right_Hand,60,LH,insula,10
0002,Right_Hand,60,RH,Cereb_V_VI,55
0002,Right_Hand,60,RH,PMC,282
0002,Right_Hand,60,RH,SMA,4
0002,Right_Hand,60,RH,insula,3
0003,Left_Hand,40,LH,Cereb_V_VI,9
0003,Left_Hand,40,LH,PMC,186
0003,Left_Hand,40,LH,SMA,0
0003,Left_Hand,40,LH,insula,6
0003,Left_Hand,40,RH,Cereb_V_VI,5
0003,Left_Hand,40,RH,PMC,43
0003,Left_Hand,40,RH,SMA,7
0003,Left_Hand,40,RH,insula,17
0003,Left_Hand,60,LH,Cereb_V_VI,36
0003,Left_Hand,60,LH,PMC,155
0003,Left_Hand,60,LH,SMA,2
0003,Left_Hand,60,LH,insula,4
0003,Left_Hand,60,RH,Cereb_V_VI,6
0003,Left_Hand,60,RH,PMC,31
0003,Left_Hand,60,RH,SMA,18
0003,Left_Hand,60,RH,insula,11
0003,Right_Hand,40,LH,Cereb_V_VI,0
0003,Right_Hand,40,LH,PMC,31
0003,Right_Hand,40,LH,SMA,0
0003,Right_Hand,40,LH,insula,3
0003,Right_Hand,40,RH,Cereb_V_VI,4
0003,Right_Hand,40,RH,PMC,20
0003,Right_Hand,40,RH,SMA,0
0003,Right_Hand,40,RH,insula,1
0003,Right_Hand,60,LH,Cereb_V_VI,1
0003,Right_Hand,60,LH,PMC,9
0003,Right_Hand,60,LH,SMA,0
0003,Right_Hand,60,LH,insula,1
0003,Right_Hand,60,RH,Cereb_V_VI,10
0003,Right_Hand,60,RH,PMC,59
0003,Right_Hand,60,RH,SMA,4
0003,Right_Hand,60,RH,insula,0
0004,Left_Hand,40,LH,Cereb_V_VI,33
0004,Left_Hand,40,LH,PMC,276
0004,Left_Hand,40,LH,SMA,9
0004,Left_Hand,40,LH,insula,25
0004,Left_Hand,40,RH,Cereb_V_VI,3
0004,Left_Hand,40,RH,PMC,112
0004,Left_Hand,40,RH,SMA,20
0004,Left_Hand,40,RH,insula,46
0004,Left_Hand,60,LH,Cereb_V_VI,31
0004,Left_Hand,60,LH,PMC,308
0004,Left_Hand,60,LH,SMA,5
0004,Left_Hand,60,LH,insula,17
0004,Left_Hand,60,RH,Cereb_V_VI,1
0004,Left_Hand,60,RH,PMC,60
0004,Left_Hand,60,RH,SMA,14
0004,Left_Hand,60,RH,insula,35
0004,Right_Hand,40,LH,Cereb_V_VI,4
0004,Right_Hand,40,LH,PMC,124
0004,Right_Hand,40,LH,SMA,21
0004,Right_Hand,40,LH,insula,18
0004,Right_Hand,40,RH,Cereb_V_VI,30
0004,Right_Hand,40,RH,PMC,278
0004,Right_Hand,40,RH,SMA,3
0004,Right_Hand,40,RH,insula,37
0004,Right_Hand,60,LH,Cereb_V_VI,8
0004,Right_Hand,60,LH,PMC,194
0004,Right_Hand,60,LH,SMA,40
0004,Right_Hand,60,LH,insula,22
0004,Right_Hand,60,RH,Cereb_V_VI,62
0004,Right_Hand,60,RH,PMC,338
0004,Right_Hand,60,RH,SMA,5
0004,Right_Hand,60,RH,insula,38
0005,Left_Hand,40,LH,Cereb_V_VI,16
0005,Left_Hand,40,LH,PMC,379
0005,Left_Hand,40,LH,SMA,27
0005,Left_Hand,40,LH,insula,10
0005,Left_Hand,40,RH,Cereb_V_VI,2
0005,Left_Hand,40,RH,PMC,32
0005,Left_Hand,40,RH,SMA,52
0005,Left_Hand,40,RH,insula,75
0005,Left_Hand,60,LH,Cereb_V_VI,68
0005,Left_Hand,60,LH,PMC,289
0005,Left_Hand,60,LH,SMA,3
0005,Left_Hand,60,LH,insula,4
0005,Left_Hand,60,RH,Cereb_V_VI,2
0005,Left_Hand,60,RH,PMC,49
0005,Left_Hand,60,RH,SMA,60
0005,Left_Hand,60,RH,insula,54
0005,Right_Hand,40,LH,Cereb_V_VI,1
0005,Right_Hand,40,LH,PMC,68
0005,Right_Hand,40,LH,SMA,39
0005,Right_Hand,40,LH,insula,14
0005,Right_Hand,40,RH,Cereb_V_VI,9
0005,Right_Hand,40,RH,PMC,159
0005,Right_Hand,40,RH,SMA,11
0005,Right_Hand,40,RH,insula,28
0005,Right_Hand,60,LH,Cereb_V_VI,0
0005,Right_Hand,60,LH,PMC,80
0005,Right_Hand,60,LH,SMA,44
0005,Right_Hand,60,LH,insula,16
0005,Right_Hand,60,RH,Cereb_V_VI,38
0005,Right_Hand,60,RH,PMC,183
0005,Right_Hand,60,RH,SMA,9
0005,Right_Hand,60,RH,insula,15
0006,Left_Hand,40,LH,Cereb_V_VI,8
0006,Left_Hand,40,LH,PMC,153
0006,Left_Hand,40,LH,SMA,0
0006,Left_Hand,40,LH,insula,6
0006,Left_Hand,40,RH,Cereb_V_VI,1
0006,Left_Hand,40,RH,PMC,1
0006,Left_Hand,40,RH,SMA,1
0006,Left_Hand,40,RH,insula,2
0006,Left_Hand,60,LH,Cereb_V_VI,108
0006,Left_Hand,60,LH,PMC,324
