ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,8
0001,Left_Hand,40,LH,PMC,145
0001,Left_Hand,40,LH,SMA,6
0001,Left_Hand,40,LH,insula,3
0001,Left_Hand,40,RH,Cereb_V_VI,13
0001,Left_Hand,40,RH,PMC,186
0001,Left_Hand,40,RH,SMA,41
0001,Left_Hand,40,RH,insula,15
0001,Left_Hand,60,LH,Cereb_V_VI,43
0001,Left_Hand,60,LH,PMC,81
0001,Left_Hand,60,LH,SMA,18
0001,Left_Hand,60,LH,insula,5
0001,Left_Hand,60,RH,Cereb_V_VI,5
0001,Left_Hand,60,RH,PMC,263
0001,Left_Hand,60,RH,SMA,28
0001,Left_Hand,60,RH,insula,25
0001,Right_Hand,40,LH,Cereb_V_VI,7
0001,Right_Hand,40,LH,PMC,178
0001,Right_Hand,40,LH,SMA,72
0001,Right_Hand,40,LH,insula,14
0001,Right_Hand,40,RH,Cereb_V_VI,32
0001,Right_Hand,40,RH,PMC,220
0001,Right_Hand,40,RH,SMA,2
0001,Right_Hand,40,RH,insula,34
0001,Right_Hand,60,LH,Cereb_V_VI,6
0001,Right_Hand,60,LH,PMC,205
0001,Right_Hand,60,LH,SMA,54
0001,Right_Hand,60,LH,insula,15
0001,Right_Hand,60,RH,Cereb_V_VI,71
0001,Right_Hand,60,RH,PMC,295
0001,Right_Hand,60,RH,SMA,9
0001,Right_Hand,60,RH,insula,45
0002,Left_Hand,40,LH,Cereb_V_VI,2
0002,Left_Hand,40,LH,PMC,18
0002,Left_Hand,40,LH,SMA,0
0002,Left_Hand,40,LH,insula,0
0002,Left_Hand,40,RH,Cereb_V_VI,3
0002,Left_Hand,40,RH,PMC,100
0002,Left_Hand,40,RH,SMA,0
0002,Left_Hand,40,RH,insula,0
0002,Left_Hand,60,LH,Cereb_V_VI,31
0002,Left_Hand,60,LH,PMC,112
0002,Left_Hand,60,LH,SMA,17
0002,Left_Hand,60,LH,insula,1
0002,Left_Hand,60,RH,Cereb_V_VI,1
0002,Left_Hand,60,RH,PMC,154
0002,Left_Hand,60,RH,SMA,1
0002,Left_Hand,60,RH,insula,1
0002,Right_Hand,40,LH,Cereb_V_VI,6
0002,Right_Hand,40,LH,PMC,196
0002,Right_Hand,40,LH,SMA,13
0002,Right_Hand,40,LH,insula,0
0002,Right_Hand,40,RH,Cereb_V_VI,18
0002,Right_Hand,40,RH,PMC,98
0002,Right_Hand,40,RH,SMA,3
0002,Right_Hand,40,RH,insula,14
0002,Right_Hand,60,LH,Cereb_V_VI,4
0002,Right_Hand,60,LH,PMC,389
0002,Right_Hand,60,LH,SMA,23
0002,Right_Hand,60,LH,insula,12
0002,Right_Hand,60,RH,Cereb_V_VI,71
0002,Right_Hand,60,RH,PMC,115
0002,Right_Hand,60,RH,SMA,8
0002,Right_Hand,60,RH,insula,10
0003,Left_Hand,40,LH,Cereb_V_VI,12
0003,Left_Hand,40,LH,PMC,71
0003,Left_Hand,40,LH,SMA,0
0003,Left_Hand,40,LH,insula,10
0003,Left_Hand,40,RH,Cereb_V_VI,6
0003,Left_Hand,40,RH,PMC,230
0003,Left_Hand,40,RH,SMA,11
0003,Left_Hand,40,RH,insula,25
0003,Left_Hand,60,LH,Cereb_V_VI,38
0003,Left_Hand,60,LH,PMC,45
0003,Left_Hand,60,LH,SMA,4
0003,Left_Hand,60,LH,insula,6
0003,Left_Hand,60,RH,Cereb_V_VI,12
0003,Left_Hand,60,RH,PMC,187
